Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1016.245409,1055.557459,1025.208245,1099.104568,1123.871323,1247.753118,1267.644939,1502.354073,1671.581238,1626.764793,1772.764974,1807.762344,1795.735834,1766.593077,1757.02349,1758.465636
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4458.246876,3229.249947,3015.391215,3323.86421,3622.006907,4129.975118,4533.894114,4064.132585,4450.922285,5056.566244,5442.577755,5949.342917,6238.119389,6607.767273,7001.053706,7426.115045,7914.035429,8450.917782,9154.713258,9525.370695,9927.629583,10207.75172,10369.56056,10492.66847,10700.52092,10971.0444,11356.71701,11803.2818
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10297.84235,9927.003266,9870.942241,9451.329091,9174.299927,9342.777721,9556.806523,9507.117532,9843.132467,10015.26096,10257.52206,10428.61196,10874.04756,11509.39172,11847.31975,12374.04695,12398.73737,12619.6261,12707.83135,12694.74556,12920.75152,13046.36996,13226.02538,13322.56948,13549.02515,13774.29941,13939.94052,13876.29464
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4761.229638,4651.204299,4238.318419,3118.903488,3060.336207,3407.974524,3747.164004,3892.47342,3945.59493,3902.774196,3892.316925,3924.316196,4314.540938,4295.908569,4604.657044,5112.589202,5500.242536,6044.217156,6474.376423,6292.534856,6360.441938,6346.395122,6645.085625,6730.945822,6813.052106,6644.857255,6258.376628,6044.972035
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17472.94648,17616.92668,17515.82195,18074.53103,18871.80732,17663.77137,18427.11185,19020.30773,19506.70986,19837.17735,20790.986,19454.89091,19382.2668,20295.90714,21183.42686,22229.39378,24683.45353,26544.68897,26110.65881,22592.41333,20660.41828,19953.19277,20388.79866,20121.25014,20820.55106,21426.32493,22393.99615,22855.74802
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11372.82311,12238.78885,13032.79329,13919.4039,14546.53879,13959.99966,14556.73357,15556.01756,15973.06726,15261.44199,14975.30332,14159.58484,12480.99766,13439.10713,14498.77233,15619.45134,16705.86968,18029.68258,18575.88772,17302.65415,18911.82319,19817.45048,19392.30979,19637.75538,18935.0025,19243.57947,18645.09185,18945.14402
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3742.431024,3335.595238,1976.525218,1845.31422,1992.015239,2173.358777,2336.512137,2441.179496,2639.946771,2744.425763,2924.744521,3224.107456,3669.345425,4206.799475,4673.816503,5356.596456,6110.624823,7011.674125,7559.926549,6534.077152,6702.82937,7019.767748,7505.124574,7717.060964,7954.195331,8171.832354,8158.634794,8744.731368
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37140.02466,38562.96062,38669.3749,39051.99597,39944.11143,39113.47165,38209.19543,39824.29092,39767.78939,39478.49433,41621.23267,39495.5578,37360.47577,37303.33269,39553.37407,39515.8146,39612.97675,40171.52345,40081.23237,35830.49796,34437.49417,35492.61849,34830.97655,36082.52249,36172.93335,35814.26144,35557.65686,35861.82812
