Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.80200195,64.84600067,64.89299774,64.89399719,64.86199951,64.84100342,64.71299744,64.59600067,64.52200317,64.4940033,64.49700165,64.70400238,64.97699738,65.26599884,65.53500366,65.77600098,65.50099945,65.22200012,64.97599792,64.80799866,64.73999786,65.01899719,65.41100311,65.88200378,66.39199829,66.91400146,67.26899719,67.60600281
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.31300354,69.5759964,69.68800354,69.18499756,68.64900208,67.88800049,67.70800018,68.3789978,68.24299622,67.90100098,67.73799896,67.31600189,66.9980011,66.06800079,65.12200165,64.1969986,63.50299835,62.90299988,62.37099838,62.19499969,62.17100143,63.53099823,64.88899994,61.11399841,62.31700134,65.07800293,65.12599945,65.27700043
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.5530014,46.80799866,46.88899994,47.1780014,47.40100098,47.38499832,47.37099838,47.0359993,46.72200012,46.43299866,46.16999817,45.93799973,45.73699951,45.56600189,45.42300034,45.30599976,45.2179985,45.14799881,45.10300064,45.09199905,45.35499954,45.62799835,45.92900085,47.01200104,44.80799866,44.86100006,44.92399979,45.02000046
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.56199646,78.54799652,78.5,78.48600006,78.38400269,78.27700043,78.26000214,78.24900055,78.23500061,78.22000122,78.19499969,78.22100067,78.25800323,78.2480011,78.22499847,78.18800354,78.20899963,78.20999908,78.22599792,78.27200317,78.30599976,78.36699677,78.40200043,78.40699768,78.39199829,78.35199738,78.31300354,78.24700165
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.75900269,66.54199982,67.30799866,67.73500061,68.16799927,68.08300018,68.55599976,69.19599915,69.59600067,69.55699921,69.6190033,69.45700073,68.81099701,69.27799988,69.7519989,69.16300201,69.53299713,68.91999817,68.2990036,68.68000031,68.05000305,68.36199951,68.44100189,68.16400146,67.41699982,67.79499817,68.14099884,68.46199799
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.1230011,62.32600021,62.47700119,62.56600189,62.57600021,62.49499893,62.29000092,62.02600098,61.73199844,61.44499969,61.18899918,61.10499954,61.06800079,61.07300186,61.11800003,61.19800186,61.32699966,61.47999954,61.58200073,61.95199966,64.76100159,66.0019989,65.84799957,66.38200378,66.1740036,65.46399689,64.26200104,64.47100067
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
