Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Albania,ALB,..,532.0284315,568.4032016,593.4467457,591.0326434,739.3450933,908.6745473,1067.814156,1098.483166,1065.767398,1142.965355,1123.968106,1096.873229,1070.690164,1018.100288,796.3539738,1420.614795,1161.951677,1005.93953,1021.3935,552.2521848,418.453589,453.6440739,536.3638251,596.4079593,663.7839954,904.3466403,694.6648028,734.8499135,1414.703784,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Algeria,DZA,..,133.8734892,142.8759276,158.7541554,170.6604578,195.6922771,220.0657727,233.1241756,278.9705996,314.5676853,330.3043727,363.4428271,406.0548474,417.498445,441.2877939,466.4868184,485.2744883,455.4080367,481.8874507,522.142149,531.5838983,532.4903385,559.7830957,547.9905115,550.9720181,559.9179492,570.5176293,575.6988901,618.4927682,652.8013246,683.2948723,709.0914606,730.8089889,786.4144723,804.1070883,890.6258164,862.4297219,894.2846911,947.2912193,866.307327,1016.636669,1123.332731,1237.966507,1278.915343,1362.871919,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Angola,AGO,..,92.04113974,100.5032846,113.5915525,136.3626952,139.3792711,60.30626516,58.27122934,56.34918628,58.57484183,60.66208712,58.56179183,60.31531506,63.26729105,52.21142423,60.63041376,58.52650228,56.78602334,55.20394288,53.60209108,53.1717991,54.45386488,53.48664169,52.00745328,50.65260775,49.26424178,51.10855923,69.32691034,73.30919599,71.91084769,75.26467824,82.61657065,86.01884412,95.85310338,87.535308,109.29523,144.7153512,133.2672387,172.3849139,189.2576538,206.4544105,207.0133429,219.2534303,280.2145467,312.228825,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Argentina,ARG,..,874.4593523,925.3169217,962.2661254,993.2330549,1011.993609,1032.48922,1081.751227,1093.416674,1217.17288,1243.631466,1197.592746,1208.666307,1259.1737,1300.799644,1288.874782,1330.370627,1413.84727,1452.305853,1320.356572,1303.977899,1347.592128,1410.377292,1496.904146,1576.76706,1648.895133,1728.121026,1848.001997,1967.254444,2033.771811,2088.80814,2120.579943,2014.476557,2180.326817,2293.309369,2408.432525,2374.097471,2455.656576,2772.843222,2730.123232,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2722.593114,2689.673627,1962.636992,1195.025554,1045.47751,1050.243865,1219.927524,1509.053844,1308.591055,1307.533582,1297.567005,1269.22231,1236.330652,1320.44062,1440.32099,1521.499737,1639.789244,1773.159682,1669.407742,1661.304418,1726.259758,1807.033316,1892.013429,1931.264115,1961.610395,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
