Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.190000057,..,..,..,3.329999924,..,10.10999966,..,..,14.02999973,..,..
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.89999962,10.5,28.29999924,24.20000076,19.89999962,14.80000019,13.60000038,16.60000038,20.89999962,21.39999962,19.29999924,19.89999962,19.10000038,18.20000076,17.5,17.20000076,16.79999924,16.43000031,13.72000027,15.64000034,15.84000015,13.75,11.48999977,13.43999958,15.52000046,17.12000084,14.47000027,12.5,11.88000011,11.31999969
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.13999939,20.70999908,17,..,..,..,..,..,26.17000008,..,..,29.71999931,..,..,25.44000053,18.19000053,..,..,..,..,18.10000038,19.10000038,..,16.98999977,16.29999924,15.57999992,16.56999969,18.25,26.22999954,..,..
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.789999962,..,..,..,..,..,..,..,..,..,6.010000229,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.70000076,28.5,35.09999847,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.12999916,..,..,..,..,2.819999933,10.86999989,7.710000038,..,..,9.100000381,..,..,..,..,..
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Antigua and Barbuda,ATG,..,..,..,28.26000023,26.98999977,27.39999962,26.45999908,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.779999733,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,5.400000095,4.800000191,4.190000057,..,..,6.599999905,7.199999809,7.800000191,6.929999828,5.849999905,6.730000019,12.69999981,14.06000042,22.29999924,19.30999947,17.79999924,14.10999966,15.18000031,16.37999916,17.19000053,18.82999992,17.47999954,15.73999977,13.52000046,12.34000015,..,9.680000305,9.829999924,9.170000076,8.489999771,8.789999962,8.460000038,8.359999657,..,..,9.449999809,10.51000023,10.68999958
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.400000095,7.400000095,8.5,10.39999962,15.19999981,17.39999962,13.30000019,15,..,..,..,..,..,..,..,9.770000458,25.86000061,19.67000008,21.22999954,19.61000061,18.14999962,18.06999969,19.37999916,19.22999954,17.48999977,17.47999954,20.43000031,19.30999947
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.300000191,..,..,7.949999809,..,..,8.369999886,..,..,7.440000057,7.400000095,..,..,..,..,..,6.53000021,..,..,10.43000031,7.800000191,..,..,..,..,..,..,..,..
