"Country","ISOCode","Year","GDPPerCapita","FemaleUnemploymentRate","ElectricityPerCapita","PopulationInMillions","ChildrenPerWoman","ChildMortalityRate","LaborRate","LifeExpectancy","NumCode"
"Afghanistan","AFG","1970",NA,NA,NA,11.173642,7.45,300.3,NA,37.409,4
"Albania","ALB","1970",NA,NA,NA,2.135479,4.91,NA,NA,66.935,8
"Algeria","DZA","1970",NA,NA,NA,14.464985,7.643,240.2,NA,50.372,12
"American Samoa","ASM","1970",NA,NA,NA,0.027363,NA,NA,NA,NA,16
"Andorra","AND","1970",NA,NA,NA,0.024276,NA,NA,NA,NA,20
"Angola","AGO","1970",NA,NA,NA,5.890365,7.434,NA,NA,40.914,24
"Antigua and Barbuda","ATG","1970",NA,NA,NA,0.064177,3.683,31.8,NA,65.847,28
"Argentina","ARG","1970",NA,NA,NA,23.880561,3.079,71.8,NA,66.483,32
"Armenia","ARM","1970",NA,NA,NA,2.525068,3.199,NA,NA,70.144,51
"Aruba","ABW","1970",NA,NA,NA,0.059063,2.908,NA,NA,69.14,533
"Australia","AUS","1970",NA,NA,3609.978412,12.507,2.859,21.5,NA,71.01853659,36
"Austria","AUT","1970",NA,3.799999952,3019.116159,7.467086,2.29,29.1,NA,69.91463415,40
"Azerbaijan","AZE","1970",NA,NA,NA,5.180023,5.018,NA,NA,63.141,31
"Bahamas, The","BHS","1970",NA,NA,NA,0.169377,3.536,30.4,NA,65.87,44
"Bahrain","BHR","1970",NA,NA,NA,0.212605,6.501,75.9,NA,63.449,48
"Bangladesh","BGD","1970",NA,NA,NA,64.232482,6.947,222.8,NA,46.942,50
"Barbados","BRB","1970",NA,NA,NA,0.238896,3.113,47.9,NA,68.65,52
"Belarus","BLR","1970",NA,NA,NA,9.04,2.31,NA,NA,70.0792439,112
"Belgium","BEL","1970",NA,NA,3031.521046,9.655549,2.25,24,NA,70.97195122,56
"Belize","BLZ","1970",NA,NA,NA,0.122182,6.299,96.5,NA,65.566,84
"Benin","BEN","1970",NA,NA,NA,2.91234,6.748,262.2,NA,42.152,204
"Bermuda","BMU","1970",NA,NA,NA,0.055,NA,NA,NA,70.29,60
"Bhutan","BTN","1970",NA,NA,NA,0.297316,6.601,272,NA,39.635,64
"Bolivia","BOL","1970",NA,NA,NA,4.484004,6.004,227.3,NA,45.568,68
"Bosnia and Herzegovina","BIH","1970",NA,NA,NA,3.760529,2.929,NA,NA,66.187,70
"Botswana","BWA","1970",NA,NA,NA,0.627715,6.645,123.9,NA,53.824,72
"Brazil","BRA","1970",NA,NA,NA,95.113265,4.972,132.5,NA,58.911,76
"British Virgin Islands","VGB","1970",NA,NA,NA,0.009827,NA,NA,NA,NA,92
"Brunei Darussalam","BRN","1970",NA,NA,NA,0.129529,5.719,54,NA,62.582,96
"Bulgaria","BGR","1970",NA,NA,NA,8.489574,2.17,32.2,NA,71.25634146,100
"Burkina Faso","BFA","1970",NA,NA,NA,5.6246,6.623,314.2,NA,39.095,854
"Burundi","BDI","1970",NA,NA,NA,3.479074,7.249,248.1,NA,43.841,108
"Cabo Verde","CPV","1970",NA,NA,NA,0.268627,6.935,143.8,NA,53.298,132
"Cambodia","KHM","1970",NA,NA,NA,6.996576,6.465,NA,NA,41.566,116
"Cameroon","CMR","1970",NA,NA,NA,6.519762,6.203,210.1,NA,46.523,120
"Canada","CAN","1970",NA,4.5,8962.202213,21.324,2.258,22,NA,72.7004878,124
"Cayman Islands","CYM","1970",NA,NA,NA,0.009144,NA,NA,NA,NA,136
"Central African Republic","CAF","1970",NA,NA,NA,1.811144,5.958,223.3,NA,42.223,140
"Chad","TCD","1970",NA,NA,NA,3.643604,6.528,NA,NA,41.344,148
"Channel Islands","CHI","1970",NA,NA,NA,0.121197,2.121,NA,NA,71.823,NA
"Chile","CHL","1970",NA,NA,NA,9.783134,3.778,79.9,NA,62.254,152
"China","CHN","1970",NA,NA,NA,818.315,5.725,111.8,NA,59.085,156
"Colombia","COL","1970",NA,NA,NA,21.480064,5.276,97.7,NA,62.152,170
"Comoros","COM","1970",NA,NA,NA,0.230054,7.061,226.1,NA,45.642,174
"Congo, Dem. Rep.","COD","1970",NA,NA,NA,20.011036,6.215,247.7,NA,43.915,180
